--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 729, 'username': 'root', 'name': 'NetworkManager', 'vms': 411.54296875}"
"{'pid': 734, 'username': 'root', 'name': 'irqbalance', 'vms': 79.9765625}"
"{'pid': 736, 'username': 'root', 'name': 'networkd-dispat', 'vms': 46.828125}"
"{'pid': 740, 'username': 'root', 'name': 'polkitd', 'vms': 247.703125}"
"{'pid': 744, 'username': 'syslog', 'name': 'rsyslogd', 'vms': 219.09765625}"
"{'pid': 745, 'username': 'root', 'name': 'snapd', 'vms': 1141.4765625}"
"{'pid': 748, 'username': 'root', 'name': 'switcheroo-control', 'vms': 238.5078125}"
"{'pid': 750, 'username': 'root', 'name': 'systemd-logind', 'vms': 16.38671875}"
"{'pid': 752, 'username': 'root', 'name': 'udisksd', 'vms': 386.78515625}"
"{'pid': 755, 'username': 'root', 'name': 'wpa_supplicant', 'vms': 13.72265625}"
"{'pid': 763, 'username': 'avahi', 'name': 'avahi-daemon', 'vms': 8.15625}"
"{'pid': 802, 'username': 'root', 'name': 'cups-browsed', 'vms': 174.21875}"
"{'pid': 811, 'username': 'root', 'name': 'ModemManager', 'vms': 307.1015625}"
"{'pid': 832, 'username': 'root', 'name': 'unattended-upgr', 'vms': 123.7890625}"
"{'pid': 833, 'username': 'root', 'name': 'winbindd', 'vms': 85.3515625}"
"{'pid': 861, 'username': 'root', 'name': 'gdm3', 'vms': 242.42578125}"
"{'pid': 886, 'username': 'root', 'name': 'winbindd', 'vms': 85.90625}"
"{'pid': 890, 'username': 'mysql', 'name': 'mysqld', 'vms': 2125.6640625}"
"{'pid': 908, 'username': 'rtkit', 'name': 'rtkit-daemon', 'vms': 149.35546875}"
"{'pid': 1046, 'username': 'root', 'name': 'upowerd', 'vms': 254.95703125}"
"{'pid': 1403, 'username': 'colord', 'name': 'colord', 'vms': 251.609375}"
"{'pid': 1430, 'username': 'whoopsie', 'name': 'whoopsie', 'vms': 319.578125}"
"{'pid': 1431, 'username': 'kernoops', 'name': 'kerneloops', 'vms': 11.0}"
"{'pid': 1433, 'username': 'kernoops', 'name': 'kerneloops', 'vms': 11.0}"
"{'pid': 1444, 'username': 'root', 'name': 'gdm-session-worker', 'vms': 315.71484375}"
"{'pid': 1451, 'username': 'ashwini', 'name': 'systemd', 'vms': 18.8046875}"
"{'pid': 1452, 'username': 'ashwini', 'name': '(sd-pam)', 'vms': 165.2578125}"
"{'pid': 1459, 'username': 'ashwini', 'name': 'pulseaudio', 'vms': 2544.6484375}"
"{'pid': 1461, 'username': 'ashwini', 'name': 'tracker-miner-fs', 'vms': 508.1015625}"
"{'pid': 1464, 'username': 'ashwini', 'name': 'dbus-daemon', 'vms': 8.8046875}"
"{'pid': 1468, 'username': 'ashwini', 'name': 'gvfsd', 'vms': 242.5}"
"{'pid': 1471, 'username': 'ashwini', 'name': 'gnome-keyring-daemon', 'vms': 243.08203125}"
"{'pid': 1477, 'username': 'ashwini', 'name': 'gvfsd-fuse', 'vms': 373.109375}"
"{'pid': 1497, 'username': 'ashwini', 'name': 'gvfs-udisks2-volume-monitor', 'vms': 318.57421875}"
